"name.firstName,name.lastName,age,address.line1,address.line2,address.city,address.state,gender"
"John,Doe,25,123 Elm St,Apt 4,Springfield,IL,male"
"Jane,Smith,30,456 Oak St,,Columbus,OH,female"
"Emily,Jones,15,789 Pine St,Apt 2,Los Angeles,CA,female"
"Michael,Brown,45,101 Maple St,,Houston,TX,male"
"Sarah,Wilson,65,202 Cedar St,Unit 5,Seattle,WA,female"
"David,Lee,55,303 Birch St,,Miami,FL,male"
"Anna,Kim,22,404 Walnut St,,Boston,MA,female"
"Robert,Martin,75,505 Chestnut St,,Denver,CO,male"
"Laura,Garcia,28,606 Aspen St,Apt 3,Portland,OR,female"
"James,Martinez,19,707 Redwood St,,Phoenix,AZ,male"
